id;bname;price;date;packageunit;type;typeunit;companyof_medicine_id
1;Proactive Island Strategist;35011;2021-07-12;90132;Syrup;Miligram;1
2;aggregate white;74083;2021-07-12;31566;Tablet;Gram;2
3;ROI;19354;2021-07-12;68482;Tablet;Gram;3
4;Crossroad Frozen Interactions;14228;2021-07-12;80822;Injection;PCS;4
5;Industrial Refined mindshare;10188;2021-07-12;7707;Tablet;Mililiter;5
6;Expanded;19161;2021-07-12;52867;Injection;PCS;6
7;port;66718;2021-07-12;93745;Tablet;Miligram;7
8;hard loyalty Investor;12378;2021-07-12;44615;Syrup;Miligram;8
9;mesh;43147;2021-07-12;4440;Injection;Miligram;9
10;Gloves Denmark bifurcated;74789;2021-07-12;7621;Syrup;Gram;10
