id;cname;address;website;email;fax;phoneno
1;Isle;benchmark;Loan payment;Esther47@yahoo.com;drive withdrawal Frozen;"7226790691"
2;Analyst schemas Electronics;Research Automotive explicit;Steel JBOD Greece;Althea_Jaskolski@hotmail.com;Central standardization;"0885616430"
3;Awesome Franc;Borders;China;Hunter39@hotmail.com;Account;"3334123280"
4;Central Investment Extensions;Car;Bacon architectures;Lukas.Schuster@hotmail.com;definition Computer;"7523251250"
5;Sausages Azerbaijanian;International Montserrat;bandwidth structure payment;Eduardo_Hansen@yahoo.com;AGP viral;"3784781676"
6;bypassing Central mobile;Isle interface;Executive;Jeramy3@yahoo.com;blue Borders;"7330406705"
7;Refined Personal;network Soap invoice;Riel Shoes Dale;Albertha_Schmitt2@yahoo.com;Chips;"7409027340"
8;withdrawal calculate;New Account capability;aggregate microchip Gabon;Hollis_West@gmail.com;Fantastic Object-based;"9519415343"
9;input GB synergies;Gorgeous FTP;drive;Connor_Towne@hotmail.com;Buckinghamshire Belize;"8320012324"
10;Small Mandatory Intranet;content-based transmitting;Music Account Bedfordshire;Virginia_Durgan@yahoo.com;Cambridgeshire withdrawal;"8344140671"
