id;iname;symptoms;sideeffects;cautions
1;clear-thinking;Lek;Ball sticky bottom-line;invoice Identity Creative
2;embrace Dakota Oregon;back;Account value-added services;rich Sports Awesome
3;users;Wooden;morph Indiana;Cambridgeshire
4;wireless virtual Consultant;Metal;Buckinghamshire solid;Oregon Movies
5;1080p;monitor;Strategist of Universal;deposit
6;Account Research Soap;Open-architected Personal;Home;Rubber
7;Ergonomic Steel;monitor Uruguayo;mint Industrial SMS;coherent
8;experiences;reboot Money;up generate system;JBOD Movies
9;port Berkshire;Rubber Canadian alarm;haptic;Global transition Cedi
10;Table Mobility Down-sized;analyzing parsing;Loan;1080p extensible Global
